what,kind,bundleId,bundleVersion,description,time
os,sysinfo,,,"win32",1533889364850
arch,sysinfo,,,"x86",1533889364850
ws,sysinfo,,,"win32",1533889364850
locale,sysinfo,,,"zh_CN",1533889364850
processors,sysinfo,,,"4",1533889364850
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1533889364850
java.runtime.version,sysinfo,,,"jvmwi3260sr9-20110324_78506",1533889364850
java.specification.name,sysinfo,,,"Java Platform API Specification",1533889364850
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1533889364850
java.specification.version,sysinfo,,,"1.6",1533889364850
java.vendor,sysinfo,,,"IBM Corporation",1533889364850
java.version,sysinfo,,,"1.6.0",1533889364850
java.vm.info,sysinfo,,,"JRE 1.6.0 IBM J9 2.4 Windows 7 x86-32 jvmwi3260sr9-20110324_78506 (JIT enabled, AOT enabled)\nJ9VM - 20110324_078506\nJIT  - r9_20101028_17488ifx3\nGC   - 20101027_AA",1533889364850
java.vm.name,sysinfo,,,"IBM J9 VM",1533889364850
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1533889364850
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1533889364850
java.vm.specification.version,sysinfo,,,"1.0",1533889364850
java.vm.vendor,sysinfo,,,"IBM Corporation",1533889364850
java.vm.version,sysinfo,,,"2.4",1533889364850
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1533889364878
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1533889366256
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1533889366321
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1533889368064
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1533889375557
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1533889377201
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1533889377466
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1533889387915
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1533889387916
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1533889387917
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1533889387918
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1533889387920
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1533889387920
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1533889387922
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1533889387923
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1533889387924
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1533889387926
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1533889387927
started,bundle,org.eclipse.core.jobs,3.5.101.v20120113-1953,"org.eclipse.core.jobs",1533889387928
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1533889387930
started,bundle,org.eclipse.core.resources,3.7.101.v20120125-1505,"org.eclipse.core.resources",1533889387932
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1533889387933
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1533889387935
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1533889387936
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1533889387938
started,bundle,org.eclipse.emf.common.ui,2.7.0.v20120130-0943,"org.eclipse.emf.common.ui",1533889387940
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1533889387943
